"Plot Title: Riggert"
"#","Date Time, GMT-07:00","AC Curr, Amps (LGR S/N: 10047347, SEN S/N: 10047347, LBL: SFan)","End Of File (LGR S/N: 10047347)"
142,07/05/16 09:46:44 PM,0.059,
143,07/05/16 09:49:44 PM,0.059,
144,07/05/16 09:52:44 PM,0.059,
145,07/05/16 09:55:44 PM,0.059,
146,07/05/16 09:58:44 PM,0.059,
147,07/05/16 10:01:44 PM,0.059,
148,07/05/16 10:04:44 PM,0.059,
149,07/05/16 10:07:44 PM,0.059,
150,07/05/16 10:10:44 PM,0.059,
151,07/05/16 10:13:44 PM,0.059,
152,07/05/16 10:16:44 PM,0.059,
153,07/05/16 10:19:44 PM,0.059,
154,07/05/16 10:22:44 PM,0.059,
155,07/05/16 10:25:44 PM,0.059,
156,07/05/16 10:28:44 PM,0.059,
157,07/05/16 10:31:44 PM,0.059,
158,07/05/16 10:34:44 PM,0.059,
159,07/05/16 10:37:44 PM,0.059,
160,07/05/16 10:40:44 PM,0.059,
161,07/05/16 10:43:44 PM,0.059,
162,07/05/16 10:46:44 PM,0.059,
163,07/05/16 10:49:44 PM,0.059,
164,07/05/16 10:52:44 PM,0.059,
165,07/05/16 10:55:44 PM,0.059,
166,07/05/16 10:58:44 PM,0.059,
167,07/05/16 11:01:44 PM,0.059,
168,07/05/16 11:04:44 PM,0.059,
169,07/05/16 11:07:44 PM,0.059,
170,07/05/16 11:10:44 PM,0.059,
171,07/05/16 11:13:44 PM,0.059,
172,07/05/16 11:16:44 PM,0.059,
173,07/05/16 11:19:44 PM,0.059,
174,07/05/16 11:22:44 PM,0.059,
175,07/05/16 11:25:44 PM,0.059,
176,07/05/16 11:28:44 PM,0.059,
177,07/05/16 11:31:44 PM,0.059,
178,07/05/16 11:34:44 PM,0.059,
179,07/05/16 11:37:44 PM,0.059,
180,07/05/16 11:40:44 PM,0.059,
181,07/05/16 11:43:44 PM,0.059,
182,07/05/16 11:46:44 PM,0.059,
183,07/05/16 11:49:44 PM,0.059,
184,07/05/16 11:52:44 PM,0.059,
185,07/05/16 11:55:44 PM,0.059,
186,07/05/16 11:58:44 PM,0.059,
187,07/06/16 12:01:44 AM,0.059,
188,07/06/16 12:04:44 AM,0.059,
189,07/06/16 12:07:44 AM,0.059,
190,07/06/16 12:10:44 AM,0.059,
191,07/06/16 12:13:44 AM,0.059,
192,07/06/16 12:16:44 AM,0.059,
193,07/06/16 12:19:44 AM,0.059,
194,07/06/16 12:22:44 AM,0.059,
195,07/06/16 12:25:44 AM,0.059,
196,07/06/16 12:28:44 AM,0.059,
197,07/06/16 12:31:44 AM,0.059,
198,07/06/16 12:34:44 AM,0.059,
199,07/06/16 12:37:44 AM,0.059,
200,07/06/16 12:40:44 AM,0.059,
201,07/06/16 12:43:44 AM,0.059,
202,07/06/16 12:46:44 AM,0.059,
203,07/06/16 12:49:44 AM,0.059,
204,07/06/16 12:52:44 AM,0.059,
