"index","datetime","amps"
1,06/23/17 03:35:28 PM,0.361
2,06/23/17 03:36:28 PM,0.010
3,06/23/17 03:37:28 PM,0.010
4,06/23/17 03:38:28 PM,0.371
5,06/23/17 03:39:28 PM,0.371
6,06/23/17 03:40:28 PM,2.071
7,06/23/17 03:41:28 PM,4.982
8,06/23/17 03:42:28 PM,4.977
9,06/23/17 03:43:28 PM,4.806
10,06/23/17 03:44:28 PM,4.498
11,06/23/17 03:45:28 PM,4.200
12,06/23/17 03:46:28 PM,4.103
13,06/23/17 03:47:28 PM,3.966
14,06/23/17 03:48:28 PM,3.858
15,06/23/17 03:49:28 PM,3.888
16,06/23/17 03:50:28 PM,3.775
17,06/23/17 03:51:28 PM,3.663
18,06/23/17 03:52:28 PM,3.653
19,06/23/17 03:53:28 PM,3.560
20,06/23/17 03:54:28 PM,3.502
21,06/23/17 03:55:28 PM,3.565
22,06/23/17 03:56:28 PM,0.376
23,06/23/17 03:57:28 PM,0.381
24,06/23/17 03:58:28 PM,0.015
25,06/23/17 03:59:28 PM,0.015
26,06/23/17 04:00:28 PM,0.020
27,06/23/17 04:01:28 PM,0.386
28,06/23/17 04:02:28 PM,0.381
29,06/23/17 04:03:28 PM,3.258
30,06/23/17 04:04:28 PM,3.443
31,06/23/17 04:05:28 PM,5.055
32,06/23/17 04:06:28 PM,5.304
33,06/23/17 04:07:28 PM,5.167
34,06/23/17 04:08:28 PM,5.221
35,06/23/17 04:09:28 PM,5.270
36,06/23/17 04:10:28 PM,5.265
37,06/23/17 04:11:28 PM,5.206
38,06/23/17 04:12:28 PM,5.094
39,06/23/17 04:13:28 PM,4.982
40,06/23/17 04:14:28 PM,5.148
41,06/23/17 04:15:28 PM,5.114
42,06/23/17 04:16:28 PM,5.079
43,06/23/17 04:17:28 PM,5.065
44,06/23/17 04:18:28 PM,5.065
45,06/23/17 04:19:28 PM,5.065
46,06/23/17 04:20:28 PM,5.201
47,06/23/17 04:21:28 PM,6.554
48,06/23/17 04:22:28 PM,6.540
49,06/23/17 04:23:28 PM,6.505
50,06/23/17 04:24:28 PM,6.418
51,06/23/17 04:25:28 PM,6.374
52,06/23/17 04:26:28 PM,6.212
53,06/23/17 04:27:28 PM,6.335
54,06/23/17 04:28:28 PM,6.242
55,06/23/17 04:29:28 PM,6.359
56,06/23/17 04:30:28 PM,6.379
57,06/23/17 04:31:28 PM,6.564
58,06/23/17 04:32:28 PM,6.481
59,06/23/17 04:33:28 PM,6.437
60,06/23/17 04:34:28 PM,6.457
61,06/23/17 04:35:28 PM,6.462
62,06/23/17 04:36:28 PM,6.623
63,06/23/17 04:37:28 PM,6.569
64,06/23/17 04:38:28 PM,6.432
65,06/23/17 04:39:28 PM,6.510
66,06/23/17 04:40:28 PM,6.344
67,06/23/17 04:41:28 PM,6.379
68,06/23/17 04:42:28 PM,6.427
69,06/23/17 04:43:28 PM,6.442
70,06/23/17 04:44:28 PM,6.413
71,06/23/17 04:45:28 PM,6.535
72,06/23/17 04:46:28 PM,6.481
73,06/23/17 04:47:28 PM,6.364
74,06/23/17 04:48:28 PM,6.593
75,06/23/17 04:49:28 PM,6.579
76,06/23/17 04:50:28 PM,6.525
77,06/23/17 04:51:28 PM,6.618
78,06/23/17 04:52:28 PM,6.403
79,06/23/17 04:53:28 PM,6.574
80,06/23/17 04:54:28 PM,6.530
81,06/23/17 04:55:28 PM,6.540
82,06/23/17 04:56:28 PM,6.593
83,06/23/17 04:57:28 PM,6.545
84,06/23/17 04:58:28 PM,6.564
85,06/23/17 04:59:28 PM,6.579
86,06/23/17 05:00:28 PM,6.589
87,06/23/17 05:01:28 PM,6.632
88,06/23/17 05:02:28 PM,6.437
89,06/23/17 05:03:28 PM,6.574
90,06/23/17 05:04:28 PM,6.452
91,06/23/17 05:05:28 PM,6.432
92,06/23/17 05:06:28 PM,6.462
93,06/23/17 05:07:28 PM,6.457
94,06/23/17 05:08:28 PM,6.476
95,06/23/17 05:09:28 PM,6.491
96,06/23/17 05:10:28 PM,6.505
97,06/23/17 05:11:28 PM,6.647
98,06/23/17 05:12:28 PM,6.657
99,06/23/17 05:13:28 PM,6.501
100,06/23/17 05:14:28 PM,6.462
101,06/23/17 05:15:28 PM,6.505
102,06/23/17 05:16:28 PM,6.676
103,06/23/17 05:17:28 PM,6.579
104,06/23/17 05:18:28 PM,6.432
105,06/23/17 05:19:28 PM,6.437
106,06/23/17 05:20:28 PM,6.520
107,06/23/17 05:21:28 PM,6.515
108,06/23/17 05:22:28 PM,6.271
109,06/23/17 05:23:28 PM,6.427
110,06/23/17 05:24:28 PM,6.447
111,06/23/17 05:25:28 PM,6.286
112,06/23/17 05:26:28 PM,6.530
113,06/23/17 05:27:28 PM,6.388
114,06/23/17 05:28:28 PM,6.589
115,06/23/17 05:29:28 PM,6.549
116,06/23/17 05:30:28 PM,6.432
117,06/23/17 05:31:28 PM,6.364
118,06/23/17 05:32:28 PM,6.530
119,06/23/17 05:33:28 PM,6.545
120,06/23/17 05:34:28 PM,6.422
121,06/23/17 05:35:28 PM,6.510
122,06/23/17 05:36:28 PM,6.496
123,06/23/17 05:37:28 PM,6.515
124,06/23/17 05:38:28 PM,6.447
125,06/23/17 05:39:28 PM,6.281
126,06/23/17 05:40:28 PM,6.369
127,06/23/17 05:41:28 PM,6.442
128,06/23/17 05:42:28 PM,6.554
129,06/23/17 05:43:28 PM,6.413
130,06/23/17 05:44:28 PM,6.505
131,06/23/17 05:45:28 PM,6.379
132,06/23/17 05:46:28 PM,6.515
133,06/23/17 05:47:28 PM,6.457
134,06/23/17 05:48:28 PM,6.481
135,06/23/17 05:49:28 PM,6.466
136,06/23/17 05:50:28 PM,6.379
137,06/23/17 05:51:28 PM,6.335
138,06/23/17 05:52:28 PM,6.315
139,06/23/17 05:53:28 PM,6.325
140,06/23/17 05:54:28 PM,6.295
141,06/23/17 05:55:28 PM,6.540
142,06/23/17 05:56:28 PM,6.393
143,06/23/17 05:57:28 PM,6.505
144,06/23/17 05:58:28 PM,6.496
145,06/23/17 05:59:28 PM,6.535
146,06/23/17 06:00:28 PM,6.613
147,06/23/17 06:01:28 PM,6.344
148,06/23/17 06:02:28 PM,6.193
149,06/23/17 06:03:28 PM,6.584
150,06/23/17 06:04:28 PM,6.598
151,06/23/17 06:05:28 PM,6.447
152,06/23/17 06:06:28 PM,6.476
153,06/23/17 06:07:28 PM,6.574
154,06/23/17 06:08:28 PM,6.476
155,06/23/17 06:09:28 PM,6.379
156,06/23/17 06:10:28 PM,6.530
157,06/23/17 06:11:28 PM,6.437
158,06/23/17 06:12:28 PM,6.305
159,06/23/17 06:13:28 PM,6.388
160,06/23/17 06:14:28 PM,6.403
161,06/23/17 06:15:28 PM,6.237
