"x"
4.644
4.352
4.166
4.144
4.118
4.032
3.952
3.808
3.64
3.348
3.15
2.962
2.66
2.632
2.604
2.576
2.576
2.548
2.548
2.52
2.408
2.352
2.324
2.324
2.284
2.212
2.156
2.1
2.044
1.988
1.96
1.948
1.904
1.876
1.838
1.82
1.808
1.802
1.702
1.662
1.624
1.596
1.512
1.512
1.474
1.456
1.456
1.428
1.428
1.418
1.4
1.372
1.372
1.344
1.344
1.344
1.316
1.288
1.19
1.162
1.12
1.092
1.056
1.044
1.036
1.036
1.002
0.93
0.924
0.924
0.868
0.858
0.84
0.84
0.824
0.812
0.784
0.756
0.756
0.756
0.7
0.69
0.674
0.668
0.668
0.62
0.616
0.616
0.59
0.588
0.56
0.546
0.536
0.532
0.532
0.532
0.504
0.502
0.49
0.48
0.462
0.462
0.462
0.456
0.448
0.448
0.434
0.43
0.424
0.414
0.412
0.392
0.392
0.392
0.392
0.392
0.392
0.39
0.39
0.386
0.384
0.384
0.364
0.364
0.364
0.364
0.356
0.346
0.34
0.336
0.336
0.336
0.336
0.336
0.336
0.336
0.336
0.336
0.336
0.33
0.324
0.312
0.312
0.308
0.308
0.308
0.308
0.308
0.308
0.308
0.308
0.306
0.302
0.29
0.29
0.28
0.28
0.28
0.28
0.28
0.28
0.278
0.268
0.268
0.262
0.256
0.252
0.252
0.252
0.252
0.252
0.252
0.252
0.252
0.252
0.252
0.24
0.234
0.228
0.228
0.224
0.224
0.224
0.224
0.224
0.224
0.224
0.224
0.224
0.224
0.224
0.224
0.224
0.224
0.224
0.224
0.218
0.218
0.212
0.212
0.212
0.212
0.212
0.206
0.206
0.206
0.206
0.2
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.196
0.19
0.19
0.19
0.19
0.184
0.184
0.184
0.184
0.184
0.184
0.184
0.178
0.178
0.178
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.168
0.162
0.162
0.162
0.162
0.156
0.156
0.156
0.156
0.156
0.156
0.156
0.156
0.156
0.156
0.156
0.156
0.156
0.156
0.156
0.15
0.15
0.15
0.15
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
0.14
