"name","threshold","sigma","k"
"customer_01",0.25,0.111663243295395,0.184101997598216
"customer_02",0.5,0.801606516373666,0.752717835070962
"customer_03",0.29,0.189324646555306,0.230316460994297
"customer_04",0.5,6.44058661324333,-1.50903412922568
"customer_05",0.2,1.3882424262845,-0.189773750034117
"customer_06",0.5,1.17698509604526,-0.0703799803816842
"customer_07",0.5,0.612198560860277,0.125452402306566
"customer_08",0.25,0.332119032162595,1.01908175106312
"customer_09",0.23,0.287661603049206,0.554250859085562
"customer_10",0.15,0.106448159251447,0.322683036515273
"customer_11",0.6,1.40932365964307,0.842135277745479
"customer_12",0.2,0.0593066607141191,0.375626707094348
"customer_13",0.3,0.129913789822133,0.798672686774077
"customer_14",0.1,0.00894236201158193,1.57668487986531
"customer_15",0.8,1.50768382357005,0.362766403914178
"customer_16",0.3,0.29310278555709,0.796268719994027
"customer_17",0.4,0.331415270805026,0.192370802577193
"customer_18",1,2.05968115397827,0.372623847848853
"customer_19",0.3,0.112676432458102,0.420381746468708
"customer_20",0.5,0.821811865014992,-0.423651216607769
"customer_21",0.6,2.39373558610828,-0.897302581273342
"customer_22",0.4,1.26894569911739,-0.238427558796306
