"k_mu","sigma_mu"
0.380555452537234,0.97927037318649
0.287364458607599,0.518492548195613
0.235793341892086,0.539941551637034
0.275498156365117,0.930674315320456
0.181769158465433,0.680523035127815
0.0373735932005426,0.783117345143142
0.219048320014843,0.750559926712401
0.13200784247295,0.388571879183377
0.306052658509381,0.694711262735576
0.281531379604524,0.742955677639463
0.427375580857469,0.518446373536831
0.176725864677174,0.975450725430792
0.341767693757858,0.523545530668144
0.159221972565321,0.523229770505729
0.120175771841666,0.709951410433361
0.114035179971896,0.578812271367255
0.326650391856305,0.526342290701938
0.289426538645227,0.647215830749382
0.275583923840681,0.905806608721611
0.181352772173192,0.536432605478334
0.345400031608557,0.46744335707981
0.298002289278419,0.766320854810911
0.2379036464749,0.703463004779253
0.166618120060121,0.73811746564978
0.277541398931091,0.69070806500419
0.257986871752894,0.531404289554369
0.258224026316268,0.780853520875658
0.156382146245946,0.936144476173595
0.318278352716466,0.662136681776231
0.187783056121441,0.514943753038459
0.13146406756041,0.5352136657448
0.127887011410879,0.717242890088001
0.242341426238937,0.53272771899558
0.101872026534266,0.723042395808054
0.24983245877364,0.642946967107364
0.293631095517779,0.618768758859583
0.260520169886515,0.737136402217743
0.21907787191243,0.342777352661271
0.213671996795988,0.657647880417334
0.208344071637354,1.11833079033947
0.070725641516165,0.303648426170497
0.243247257546035,0.745459242194896
0.210310562456998,0.373690464728727
0.23243352443682,0.773397646981148
0.146664076213369,0.709936696891744
0.0336151553741186,0.309380429411341
0.207418947142578,1.18510367752113
0.187332558656292,0.394119838902138
0.308906355174188,0.425754613833677
0.202350982925455,0.710516396407758
0.23068467847978,0.767987146912247
0.239563258749223,0.616686346853402
0.202871438257968,0.682184541613091
0.294109854923949,0.674564389381611
0.366631471171323,0.532684818878517
0.287224650402524,0.768274306604545
0.308528891586974,0.785077466062595
0.294998016757731,0.722533348589496
0.268978017972548,0.785951410449553
0.228177974989507,0.68359020110688
0.224990820171161,0.478690248069955
0.221389357419455,0.622449980902572
0.213513757568881,0.785210939701373
0.320349577062325,0.435858288182068
0.313525340375387,0.561781394299783
0.125335314907447,0.663186183541896
0.270626173401603,0.496125251929627
0.0472830952621348,0.887626362242802
0.329049513822663,0.724855346475068
0.173990990951658,1.01356808105158
0.392222532403095,0.53105657740763
0.286056454929242,0.600429976999118
0.241386643783621,0.603697042739794
0.322811054524065,0.413890771961733
0.355682170098384,0.784250034640557
0.360113359117946,0.371321395776844
0.0835837007972203,0.73748011214775
0.31577640621329,0.675162539352841
0.110294077917699,0.787326228813577
0.190943701495643,1.02168999735203
0.30633020735054,0.77915888590635
0.0271726655568569,0.604079296572131
0.184350110401693,0.825487448945465
0.25879181090965,0.820311483064976
0.292067298238954,0.747596961757822
0.173930320621885,0.486782305092565
0.448173437763921,0.446048622507387
0.214669461245097,0.506496210894363
0.166771675090013,0.691632928518258
-0.000782254107046632,0.88227128519393
0.275474406152432,0.906370108655955
0.452809490984708,0.714938237948022
0.177127376358167,0.976373295407891
0.216147583749984,0.649766663378802
0.321987219501888,1.05578951372907
0.197297931793165,0.80171869225716
0.300103935210331,0.834470835873515
0.153277935042082,0.724994844501479
0.425843622691351,0.946349683568547
0.133957557788924,0.733069587956531
0.292368230118056,0.740426044312461
0.360062519876208,0.77132504975304
0.232361260892848,0.855229794038985
0.108479673848607,0.517878274019123
0.0937589490206252,0.76179075926755
0.336220803702271,0.473856492385365
0.0579163477676,0.649013577912023
0.319315983665786,0.58106297426543
0.327766572876992,1.18266494173816
0.268266549269999,0.666927522252749
0.0912984189605329,0.836038908601511
0.337476540818287,0.613551930725012
0.212026262271783,0.501359994413519
0.0607584553496722,0.412195653505351
0.266392134344433,0.44325142385065
0.136883065090604,0.554614671599388
0.184665143864686,0.200976969307684
0.215972013285916,0.743503579368047
0.220418481647726,0.907871280571361
0.408040623087453,0.542952817927877
0.0942491255243341,0.576464644497205
0.270966257832173,0.521264348881359
0.156171163674342,0.716869493964341
0.141448284755014,0.735726775042442
0.0727735365798844,0.657028694780065
0.231146431582112,0.69825690042086
0.492306573898337,0.701080108390223
0.287415659839219,0.773141825245107
0.292231999111356,0.513779968966888
0.191426469841281,0.856478900262529
0.0900506565817087,0.875847394190513
0.110393885502904,0.928161257738856
0.232448147390425,0.0500961666659981
0.27161275334163,0.460249990114251
0.131104725114035,0.549724930174189
0.135759593960269,0.646792605772221
0.0703553337665383,0.905613331676856
0.184758667550011,0.548220269603639
0.183331827501615,0.55001642374975
0.338665045868383,0.692094608997988
0.36493242608728,0.666061022872707
0.395771611802644,0.649903664451075
0.215585327435036,0.606011848201685
0.161860133853804,0.755498124458456
0.293479513423067,0.660666847596167
0.214328093912895,0.898286192875043
0.304366231948778,0.759752210613249
0.0454255285265392,0.757968640038737
0.0886787340493486,0.728492154804684
0.208368238430478,0.573743572760341
0.475300755518492,0.839182786370587
0.257131901531575,0.80305969313687
0.229901587970011,0.57626181359599
0.41856305103239,0.969421166028
0.17813430399485,0.622749524664018
0.288110243066958,0.59888729821343
0.47044425637813,0.494300393810755
0.239975732670368,0.71723409766178
0.192245687280043,0.517501381578131
0.313833253217449,0.493962369665397
0.172048136331977,0.705186543425965
0.0211915276038023,0.569437600214937
0.314350189273997,0.771741067315045
0.31921992906448,0.848795509560938
0.229785580729395,0.661199026852037
0.129791225581819,0.392702289738845
0.330808052495565,0.492409131174949
0.242656142049653,0.414319476318524
0.0957438634239274,0.714644210616473
0.307295453567039,0.442657904972869
0.206190337944377,0.728794633054911
0.250790457015608,0.769593441718336
0.18857391356658,0.58591989162127
0.0999148436103195,0.88520477653862
0.209282643192476,0.660375220719177
0.394727737015742,0.545438693994732
0.356431648234961,0.691563057750274
0.328801775940181,0.592916940417569
0.162318302613802,0.804781013551138
0.197052332894594,0.480220114109038
0.192723629796126,0.430020637374605
0.418095057938705,0.503682507953246
